PAST,say,said,said
PAST,fall,fell,fell
PAST,catch,caught,caught
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,stick,stuck,stuck
PAST,fall,fell,fell
PAST,break,broke,broke
PAST,break,broke,broke
PAST,break,broke,broke
PAST,break,broke,broke
PAST,break,broke,broke
PAST,break,broke,broke
PAST,break,broke,broke
PAST,fall,fell,fell
PAST,break,broke,broke
PAST,break,broke,broke
PAST,throw,threw,threw
PAST,catch,caught,caught
PAST,catch,caught,caught
