PAST,make,made,made
PAST,mean,meant,meant
PAST,eat,ate,ate
PAST,eat,ate,ate
PAST,eat,ate,ate
PAST,eat,ate,ate
PAST,catch,caught,caught
PAST,catch,caught,caught
SUSPECT,buy,buyed,bought
SUSPECT,buy,buyed,bought
PAST,mean,meant,meant
PAST,take,took,took
SUSPECT,hide,hided,hid
PAST,hide,hid,hid
SUSPECT,buy,buyed,bought
SUSPECT,buy,boughted,bought
SUSPECT,buy,buyed,bought
SUSPECT,buy,buyed,bought
SUSPECT,buy,buyed,bought
PAST,buy,bought,bought
SUSPECT,buy,buyed,bought
SUSPECT,buy,buyed,bought
