PAST,buy,bought,bought
PAST,fall,fallen,fallen
PAST,hear,heard,heard
PAST,fall,fallen,fallen
PAST,find,found,found
PAST,fall,fallen,fallen
PAST,say,said,said
PAST,find,found,found
SUSPECT,eat,eated,ate
PAST,see,saw,saw
PAST,say,said,said
PAST,throw,threw,threw
PAST,see,saw,saw
PAST,see,saw,saw
PAST,throw,threw,threw
PAST,say,said,said
PAST,say,said,said
PAST,lose,lost,lost
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,say,said,said
PAST,find,found,found
