PAST,tell,told,told
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,buy,bought,bought
SUSPECT,tear,teared,tore
SUSPECT,tear,teareded,tore
PAST,tear,tore,tore
PAST,write,wrote,wrote
SUSPECT,write,writed,wrote
PAST,write,wrote,wrote
SUSPECT,write,writed,wrote
PAST,write,wrote,wrote
PAST,make,made,made
SUSPECT,write,writed,wrote
PAST,write,wrote,wrote
SUSPECT,write,writed,wrote
PAST,write,wrote,wrote
PAST,say,said,said
SUSPECT,tear,teared,tore
SUSPECT,tear,teared,tore
SUSPECT,throw,throwed,threw
PAST,find,found,found
PAST,eat,ate,ate
SUSPECT,stick,sticked,stuck
