PAST,make,made,made
PAST,fall,fell,fell
PAST,break,broke,broke
PAST,catch,caught,caught
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,take,took,took
PAST,take,took,took
PAST,take,took,took
PAST,lose,lost,lost
PAST,lose,lost,lost
PAST,take,took,took
PAST,lose,lost,lost
PAST,lose,lost,lost
PAST,lose,lost,lost
PAST,hear,heard,heard
PAST,find,found,found
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,take,took,took
PAST,find,found,found
PAST,write,wrote,wrote
PAST,write,wrote,wrote
PAST,buy,bought,bought
PAST,say,said,said
PAST,take,took,took
PAST,see,saw,saw
PAST,break,broken,broken
PAST,break,broken,broken
PAST,break,broke,broke
PAST,hear,heard,heard
PAST,think,thought,thought
