PAST,stick,stuck,stuck
PAST,hear,heard,heard
PAST,say,said,said
PAST,hear,heard,heard
PAST,say,said,said
PAST,hear,heard,heard
PAST,say,said,said
PAST,forget,forgot,forgot
PAST,forget,forgot,forgot
PAST,see,saw,saw
PAST,see,saw,saw
PAST,take,took,took
PAST,think,thought,thought
PAST,catch,caught,caught
PAST,see,saw,saw
PAST,make,made,made
PAST,make,made,made
PAST,shoot,shot,shot
SUSPECT,grow,growed,grew
PAST,grow,grew,grew
PAST,hear,heard,heard
PAST,take,took,took
PAST,take,took,took
PAST,fall,fell,fell
