PAST,eat,ate,ate
PAST,say,said,said
PAST,say,said,said
PAST,win,won,won
PAST,say,said,said
PAST,say,said,said
PAST,sell,sold,sold
PAST,lose,lost,lost
PAST,forget,forgot,forgot
PAST,think,thought,thought
PAST,think,thought,thought
PAST,break,broke,broke
PAST,win,won,won
PAST,say,said,said
PAST,think,thought,thought
PAST,break,broke,broke
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,forget,forgot,forgot
SUSPECT,shrink,shrinked,shrunk
