PAST,grow,grew,grew
PAST,tell,told,told
PAST,lose,lost,lost
PAST,lose,lost,lost
PAST,lose,lost,lost
PAST,take,took,took
PAST,see,saw,saw
PAST,take,took,took
PAST,lose,lost,lost
PAST,catch,caught,caught
SUSPECT,take,taked,took
PAST,take,took,took
PAST,lose,lost,lost
PAST,see,saw,saw
PAST,lose,lost,lost
PAST,take,took,took
PAST,break,broke,broke
PAST,take,took,took
PAST,tell,told,told
PAST,think,thought,thought
PAST,catch,caught,caught
PAST,give,gave,gave
PAST,give,gave,gave
PAST,give,gave,gave
PAST,give,gave,gave
PAST,take,took,took
PAST,take,took,took
PAST,make,made,made
PAST,take,took,took
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,give,gave,gave
PAST,say,said,said
PAST,give,gave,gave
PAST,forget,forgot,forgot
PAST,forget,forgot,forgot
