PAST,take,took,took
PAST,make,made,made
PAST,say,said,said
PAST,fall,fell,fell
PAST,find,found,found
PAST,find,found,found
PAST,say,said,said
PAST,fall,fell,fell
PAST,see,saw,saw
PAST,break,broke,broke
PAST,break,broke,broke
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,break,broke,broke
PAST,say,said,said
PAST,give,gave,gave
PAST,forget,forgot,forgot
PAST,fall,fell,fell
