PAST,think,thought,thought
PAST,drink,drunk,drunk
PAST,drink,drunk,drunk
PAST,take,took,took
PAST,stick,stuck,stuck
PAST,say,said,said
PAST,see,saw,saw
PAST,make,made,made
PAST,say,said,said
PAST,say,said,said
PAST,drink,drunk,drunk
PAST,drink,drunk,drunk
PAST,eat,eaten,eaten
PAST,stick,stuck,stuck
SUSPECT,build,builded,built
PAST,build,built,built
PAST,send,sent,sent
PAST,sink,sunk,sunk
PAST,sink,sunk,sunk
SUSPECT,drive,drived,drove
SUSPECT,fall,falled,fell
PAST,fall,fallen,fallen
SUSPECT,fall,falled,fell
PAST,fall,fallen,fallen
PAST,fall,fallen,fallen
SUSPECT,fall,falled,fell
PAST,say,said,said
PAST,fall,fallen,fallen
PAST,fall,fell,fell
SUSPECT,fall,falled,fell
PAST,say,said,said
PAST,bend,bent,bent
PAST,win,won,won
