PAST,wake,woke,woke
PAST,see,saw,saw
PAST,eat,ate,ate
PAST,make,made,made
PAST,make,made,made
PAST,make,made,made
PAST,fall,fell,fell
PAST,lose,lost,lost
PAST,catch,caught,caught
PAST,make,made,made
PAST,eat,ate,ate
PAST,see,saw,saw
PAST,see,saw,saw
PAST,find,found,found
PAST,see,saw,saw
PAST,hear,heard,heard
PAST,see,saw,saw
SUSPECT,make,maked,made
PAST,make,made,made
SUSPECT,make,maked,made
PAST,make,made,made
SUSPECT,make,maked,made
PAST,make,made,made
PAST,tell,told,told
PAST,tell,told,told
