PAST,tear,tore,tore
PAST,give,gave,gave
PAST,tell,told,told
PAST,lose,lost,lost
PAST,tell,told,told
PAST,break,broken,broken
PAST,break,broken,broken
PAST,stick,stuck,stuck
SUSPECT,ring,ringed,rung
SUSPECT,ring,ringed,rung
PAST,fall,fell,fell
PAST,break,broken,broken
PAST,break,broken,broken
PAST,break,broken,broken
PAST,break,broken,broken
PAST,break,broken,broken
PAST,break,broken,broken
PAST,forget,forgot,forgot
PAST,fall,fell,fell
PAST,fall,fell,fell
PAST,lose,lost,lost
PAST,lose,lost,lost
PAST,find,found,found
PAST,find,found,found
PAST,find,found,found
PAST,buy,bought,bought
PAST,lose,lost,lost
PAST,lose,lost,lost
