PAST,eat,ate,ate
PAST,say,said,said
PAST,say,said,said
PAST,make,made,made
PAST,break,broke,broke
PAST,tell,told,told
PAST,find,found,found
PAST,see,saw,saw
PAST,tell,told,told
PAST,make,made,made
PAST,tell,told,told
PAST,hear,heard,heard
PAST,lose,lost,lost
PAST,hear,heard,heard
PAST,hear,heard,heard
PAST,hear,heard,heard
PAST,make,made,made
PAST,make,made,made
PAST,make,made,made
PAST,make,made,made
PAST,break,broke,broke
PAST,make,made,made
PAST,say,said,said
PAST,say,said,said
PAST,say,said,said
PAST,lose,lost,lost
PAST,tell,told,told
PAST,take,took,took
PAST,take,took,took
SUSPECT,teach,teached,taught
PAST,teach,taught,taught
PAST,stick,stuck,stuck
PAST,stick,stuck,stuck
PAST,tell,told,told
PAST,catch,caught,caught
PAST,see,saw,saw
PAST,bring,brought,brought
PAST,find,found,found
PAST,make,made,made
PAST,take,took,took
PAST,take,took,took
